#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Total Subscriber,Total Views,Total Videos
29,Chills @UCN64HIrZNqFQYZ2BuyY-4zg,6.1M,-,Canada,Celebrity,1.8M,6100000,677100000,54955
30,Rehaan Records @UCm9SZAl03Rev9sFwloCdz1g,6M,1.10%,Canada,,1.8M,6000000,666000000,54054
31,GamerGirl @UCije75lmV_7fVP7m4dJ7ZoQ,6M,0.20%,Canada,,1.8M,6000000,666000000,54054
32,Peter McKinnon @UC3DkFux8Iv-aYnTRWzwaiBA,5.8M,0.20%,Canada,Photography Food and Drink,1.7M,5800000,643800000,52252
33,GunVsGun @UCFFUY0PCOH3CieBjbZd5suw,5.7M,0.10%,Canada,,1.7M,5700000,632700000,51351
34,Bajan Canadian @UCuj1Ms9_LCsQPSJ4p8nvOVA,5.7M,-,Canada,,1.7M,5700000,632700000,51351
35,BENOFTHEWEEK @UC_UnVDztkvE1hw064XFTNSQ,5.7M,-,Canada,,1.7M,5700000,632700000,51351
36,JustDustin @UCau_n8AK1uk3Ys5bEnRAoqg,5.5M,0.40%,Canada,,1.6M,5500000,610500000,49550
37,ElectroBOOM @UCJ0-OtVpF0wOKEqT2Z1HEtA,5.2M,1.10%,Canada,,1.6M,5200000,577200000,46847
38,ExplodingTNT @UC2nZMhZ2qG5-xpqb440WLYg,5.1M,0.40%,Canada,,1.5M,5100000,566100000,45946
39,Furious Pete @UCspJ-h5Mw9_zeEhJDzMpkkA,5.1M,-,Canada,,1.5M,5100000,566100000,45946
40,JoBlo Movie Clips @UC6LDwTYRfjQwkakw5R95OyA,5M,-,Canada,,1.5M,5000000,555000000,45045
41,MDMotivator @UCV60-YzrBdQBKHxvgeu9sIw,4.8M,-,Canada,,1.4M,4800000,532800000,43243
42,Jeremy Ethier @UCERm5yFZ1SptUEU4wZ2vJvw,4.7M,-,Canada,,1.4M,4700000,521700000,42342
43,MsMojo @UC3rLoj87ctEHCcS7BuvIzkQ,4.7M,-,Canada,,1.4M,4700000,521700000,42342
44,ENGLISH with James · engVid @UCwA7Aepp7nRUJNa8roQ-6Bw,4.6M,-,Canada,,1.4M,4600000,510600000,41441
45,NileRed @UCFhXFikryT4aFcLkLw2LBLA,4.6M,7.60%,Canada,,1.4M,4600000,510600000,41441
46,AntsCanada @UCONd1SNf3_QqjzjCVsURNuA,4.5M,0.30%,Canada,,1.4M,4500000,499500000,40541
47,Super Simple ABCs @UCp5Nhw2YMCMUemXC1oWTkkA,4.5M,0.10%,Canada,,1.3M,4500000,499500000,40541
48,MY BOLLYWOOD BODY @UCU3juAek2IQClkV7eUw-a2w,4.4M,-,Canada,,1.3M,4400000,488400000,39640
49,RonaldOMG @UCfjLwqL4XSPUDT7hVnViCmw,4.4M,-,Canada,,1.3M,4400000,488400000,39640
50,How To Cake It @UCvM1hVcRJmVWDtATYarC0KA,4.3M,-,Canada,,1.3M,4300000,477300000,38739
51,Walk off the Earth @UC9PEibgWOqZ-1I1JdxRmr6g,4.3M,-,Canada,,1.3M,4300000,477300000,38739
52,Stromedy @UCZhUolzN9vMdkjWrnT9DQ2A,4.3M,0.30%,Canada,Celebrity Travel,1.3M,4300000,477300000,38739
53,Dan Lok @UCs_6DXZROU29pLvgQdCx4Ww,4.2M,-,Canada,,1.3M,4200000,466200000,37838
54,Kurtis Conner @UC7zsxKqd5MicTf4VhS9Y74g,4.2M,4.10%,Canada,,1.2M,4200000,466200000,37838
55,Tate McRae @UCQh6LB206jF3JxpCDD-fp5Q,4.1M,-,Canada,,1.2M,4100000,455100000,36937
56,English with Emma · engVid @UCVBErcpqaokOf4fI5j73K_w,4.1M,0.10%,Canada,,1.2M,4100000,455100000,36937
57,Two Super Sisters 2 @UCjah4obLivaa4UZ96hhJNMw,4M,-,Canada,,1.2M,4000000,444000000,36036
58,Cartooning Club How to Draw @UC-biucJWhM8HwjsQ96uoIUw,3.9M,-,Canada,Pets,1.2M,3900000,432900000,35135
59,SickickMusic @UCvnwcyWyrzPjEH46LVjx24Q,3.9M,-,Canada,,1.2M,3900000,432900000,35135
60,MAGIC! @UCZ2KbFug6U6DO02xIIu2JAA,3.9M,-,Canada,,1.2M,3900000,432900000,35135
61,English Speeches @UCLyr-hfWVCKHcZjV5fg3jbw,3.8M,-,Canada,,1.2M,3800000,421800000,34234
62,Top15s @UClW44KG_EKETupl-3BlnLSQ,3.8M,-,Canada,,1.1M,3800000,421800000,34234
63,Motivation2Study @UC8PICQUP0a_HsrA9S4IIgWw,3.8M,-,Canada,,1.1M,3800000,421800000,34234
64,Little World - Kids Songs & Nursery Rhymes @UCFBO5h2l4Py0hXtSzETH7mw,3.8M,-,Canada,,1.1M,3800000,421800000,34234
65,Casually Explained @UCr3cBLTYmIK9kY0F_OdFWFQ,3.8M,5.40%,Canada,,1.1M,3800000,421800000,34234
66,Ali Gatie @UCsU2Dg39gd4_N9a7icS3b3A,3.8M,0.30%,Canada,,1.1M,3800000,421800000,34234
67,Twi Shorts @UCGa9YJJiR-Jec5y10GQxEPg,3.8M,1.40%,Canada,,1.1M,3800000,421800000,34234
68,Anna McNulty @UCPIavfNa4DTfHXDBaFOHuKA,3.7M,-,Canada,,1.1M,3700000,410700000,33333
69,Disguised Toast @UCUT8RoNBTJvwW1iErP6-b-A,3.7M,1%,Canada,,1.1M,3700000,410700000,33333
70,BeforeTheyWereFamous @UCplwPnjH1AAB1He_7rMkHgQ,3.6M,-,Canada,,1.1M,3600000,399600000,32432
71,AldosWorld TV @UCDBQ-7zPSmk5rdzxEYIndrg,3.6M,-,Canada,,1.1M,3600000,399600000,32432
72,RCSparks Studio @UCxcjVHL-2o3D6Q9esu05a1Q,3.6M,-,Canada,,1.1M,3600000,399600000,32432
73,DavidParody @UCSOiCD_QJnfDU-jlBDaPxfQ,3.6M,-,Canada,,1.1M,3600000,399600000,32432
74,UnusualVideos @UCpnkp_D4FLPCiXOmDhoAeYA,3.6M,2.70%,Canada,,1.1M,3600000,399600000,32432
75,Phone Repair Guru @UCCOrp7GPgZA8EGrbOcIAsyQ,3.5M,-,Canada,,1.1M,3500000,388500000,31532
76,Ricky Berwick @UCnBhY8jMEZzSSuFPz6JSAxQ,3.5M,-,Canada,,1.1M,3500000,388500000,31532
77,cutepolish @UCT8z80a4ESgO2Y4qajk-iXw,3.4M,-,Canada,Art,1M,3400000,377400000,30631
78,Sally FunTube @UCy-oaFhNZ41yHVxqrSSI3hQ,3.4M,-,Canada,,1M,3400000,377400000,30631
79,Motivation Madness @UCHbq_l1qnuomfJCYQTsWf_Q,3.3M,-,Canada,,1M,3300000,366300000,29730
80,Star Wars Theory @UC8CbFnDTYkiVweaz8y9wd_Q,3.3M,-,Canada,,993K,3300000,366300000,29730
81,Joe Porter @joeporterpercussion,3.3M,0.20%,Canada,,987K,3300000,366300000,29730
82,SomeOrdinaryGamers @UCtMVHI3AJD4Qk4hcbZnI9ZQ,3.3M,0.70%,Canada,,984K,3300000,366300000,29730
83,Shahveer Jafry @UChIrj5Qb5V-TZIRrk0Df-Uw,3.3M,2.90%,Canada,,975K,3300000,366300000,29730
84,Global News @UChLtXXpo4Ge1ReTEboVvTDg,3.2M,0.30%,Canada,,972K,3200000,355200000,28829
85,Jeff Nippard @UC68TLK0mAEzUyHx5x5k-S1Q,3.2M,1.20%,Canada,Art Fitness,969K,3200000,355200000,28829
86,Steve Terreberry @UCl16xaNY2arX3OzZBvTlsPQ,3.2M,-,Canada,,966K,3200000,355200000,28829
87,FaZe Pamaj @UCPtLtJEoVSzd-zMlZaluxEA,3.2M,-,Canada,,963K,3200000,355200000,28829
88,Troydan @UCSEQjmaQ-N3lcPzyvBcFWfg,3.1M,0.60%,Canada,,939K,3100000,344100000,27928
89,Graser @UC24-XPATP4CeviFJ8SLiF8A,3.1M,-,Canada,,924K,3100000,344100000,27928
90,Step News Agency @UCFXyHQjlNrdVYKywetpIj-A,3.1M,-,Canada,,921K,3100000,344100000,27928
91,SpyCakes @UC1rsLSbsz0Y2blrWDZ_-8Qw,3M,-,Canada,,912K,3000000,333000000,27027
92,Adam’s English Lessons · engVid @UC_0NfufarVw04vDfWFm8z_Q,3M,0.10%,Canada,,909K,3000000,333000000,27027
93,Gold Coast Music @UC0aXGG4J16PmxgZo10Nzk6A,3M,-,Canada,Music,906K,3000000,333000000,27027
94,Jessii Vee @UCghooJjCGtg2Kw2PSB9B0NA,3M,0.20%,Canada,,885K,3000000,333000000,27027
95,Kings and Generals @UCMmaBzfCCwZ2KqaBJjkj0fw,3M,-,Canada,,885K,3000000,333000000,27027
96,YouAlwaysWin @UCj4I9NfO3xIvl-Ym2Qzib1Q,2.9M,-,Canada,,882K,2900000,321900000,26126
97,TheSmithPlays @UCr6n2gOy_WwuXFm-YjC28GQ,2.9M,-,Canada,,879K,2900000,321900000,26126
98,Super Simple Español - Canciones Infantiles Y Más @UCyY3Wd5x85o8AKXjYSoxFAQ,2.9M,-,Canada,,867K,2900000,321900000,26126
99,Orange Juice Gaming @UC3S6nIDGJ5OtpC-mbvFA8Ew,2.8M,0.20%,Canada,Video Gaming,843K,2800000,310800000,25225
100,ItsYeBoi @UCF2PQrk3QVky8eFexifcjDA,2.8M,0.10%,Canada,,840K,2800000,310800000,25225
